,id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,infinite_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,timestamp
0,1,Bitcoin,BTC,bitcoin,11840,2010-07-13T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'bitcoin-ecosystem', 'ftx-bankruptcy-estate', '2017-2018-alt-season']",21000000.0,19795412.0,19795412.0,False,,1,,,,2024-12-13T09:57:00.000Z,100150.67405830276,68520638705.07544,-14.0649,-0.09192586,-0.80893553,2.15266325,14.47624801,54.54824841,66.72248314,1982523855061.8152,55.1633,2103164155224.36,,2024-12-13T09:57:00.000Z,,,,,,2024-12-13 15:27:41.824053
1,1027,Ethereum,ETH,ethereum,9673,2015-08-07T00:00:00.000Z,"['pos', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'layer-1', 'ftx-bankruptcy-estate']",,120445820.12879819,120445820.12879819,True,,2,,,,2024-12-13T09:57:00.000Z,3889.9540778395312,41406596891.59194,13.0815,-0.20974001,-1.08447837,0.51698916,22.80799554,53.59897286,60.67718425,468528709168.7452,13.0341,468528709168.75,,2024-12-13T09:57:00.000Z,,,,,,2024-12-13 15:27:41.824053
2,825,Tether USDt,USDT,tether,108242,2015-02-25T00:00:00.000Z,"['stablecoin', 'asset-backed-stablecoin', 'avalanche-ecosystem', 'solana-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'injective-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem', 'fiat-stablecoin']",,140090579704.58548,143443635630.16663,True,,3,,,,2024-12-13T09:57:00.000Z,1.0000887120270763,164230047786.71225,-9.0867,-0.00984689,-0.01232429,-0.0691052,-0.09545747,0.07498856,-0.02782477,140103007423.88538,3.8976,143456360805.85,,2024-12-13T09:57:00.000Z,1027.0,Ethereum,ETH,ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7,2024-12-13 15:27:41.824053
3,52,XRP,XRP,xrp,1475,2013-08-04T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'arrington-xrp-capital-portfolio', 'galaxy-digital-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio', 'ftx-bankruptcy-estate', '2017-2018-alt-season']",100000000000.0,57187870382.0,99986858106.0,False,,4,,,,2024-12-13T09:57:00.000Z,2.3199848134506573,9330948993.130943,-26.7656,-0.47312158,-4.48521009,1.5788724,251.0107871,329.26434771,298.38283522,132674990799.82465,3.6907,231998481345.07,,2024-12-13T09:57:00.000Z,,,,,,2024-12-13 15:27:41.824053
4,5426,Solana,SOL,solana,809,2020-04-10T00:00:00.000Z,"['pos', 'platform', 'solana-ecosystem', 'cms-holdings-portfolio', 'kenetic-capital-portfolio', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'okx-ventures-portfolio', 'layer-1', 'ftx-bankruptcy-estate', 'alleged-sec-securities', 'cmc-crypto-awards-2024']",,479032718.3756597,590114931.2285029,True,,5,,,,2024-12-13T09:57:00.000Z,225.21305740149865,4512519035.309325,-12.1643,-0.41617445,-3.12225471,-4.51374564,8.96016345,47.17001317,63.84816995,107884423100.73338,3.0027,132901587880.25,,2024-12-13T09:57:00.000Z,,,,,,2024-12-13 15:27:41.824053
5,1839,BNB,BNB,bnb,2305,2017-07-25T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'bnb-chain', 'layer-1', 'alleged-sec-securities', 'celsius-bankruptcy-estate']",144008512.92000002,144008511.92000002,144008511.92000002,False,,6,,,,2024-12-13T09:57:00.000Z,709.5033834389371,2321104292.3100123,-3.9712,0.55071537,-2.12250549,-1.1945305,16.71176534,22.31296609,28.33569426,102174526451.24652,2.8438,102174527160.75,,2024-12-13T09:57:00.000Z,,,,,,2024-12-13 15:27:41.824053
6,74,Dogecoin,DOGE,dogecoin,1127,2013-12-15T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange', 'memes', 'payments', 'doggone-doggerel', 'bnb-chain', 'ftx-bankruptcy-estate']",,147181296383.7052,147181296383.7052,True,,7,,,,2024-12-13T09:57:00.000Z,0.40325696320459475,4765251189.134766,-23.1149,-0.65294206,-3.08136431,-6.12529182,7.01696652,257.17407321,279.73341312,59351882620.20837,1.6511,59351882620.21,,2024-12-13T09:57:00.000Z,,,,,,2024-12-13 15:27:41.824053
7,3408,USDC,USDC,usd-coin,23808,2018-10-08T00:00:00.000Z,"['medium-of-exchange', 'stablecoin', 'asset-backed-stablecoin', 'coinbase-ventures-portfolio', 'solana-ecosystem', 'hedera-hashgraph-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem', 'base-ecosystem', 'fiat-stablecoin']",,41619078714.03272,41619078714.03272,False,,8,,,,2024-12-13T09:57:00.000Z,1.0000469103347858,11291223281.406963,-2.4407,0.00657636,0.01894904,0.01437341,0.01492966,0.01466459,0.01732912,41621031078.94867,1.1579,41621031078.95,,2024-12-13T09:57:00.000Z,1027.0,Ethereum,ETH,ethereum,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2024-12-13 15:27:41.824053
8,2010,Cardano,ADA,cardano,1389,2017-10-01T00:00:00.000Z,"['dpos', 'pos', 'platform', 'research', 'smart-contracts', 'staking', 'cardano-ecosystem', 'cardano', 'layer-1', 'alleged-sec-securities', '2017-2018-alt-season']",45000000000.0,35112728715.27779,44995057356.92572,False,,9,,,,2024-12-13T09:57:00.000Z,1.0911223576366826,1735396010.6892285,-28.6412,-0.35291867,-5.84651716,-6.31603545,104.33300532,207.27838026,205.5416513,38312283338.87115,1.0658,49100506093.65,,2024-12-13T09:57:00.000Z,,,,,,2024-12-13 15:27:41.824053
9,1958,TRON,TRX,tron,1082,2017-09-13T00:00:00.000Z,"['media', 'payments', 'tron-ecosystem', 'layer-1', 'dwf-labs-portfolio', 'alleged-sec-securities', '2017-2018-alt-season']",,86248353091.5546,86248442962.80078,True,,10,,,,2024-12-13T09:57:00.000Z,0.2888789228622161,2595816833.7151904,52.9966,0.1470183,-4.16632891,-9.81633401,64.20252319,80.56048008,94.74497371,24915331339.72838,0.6931,24915357301.64,,2024-12-13T09:57:00.000Z,,,,,,2024-12-13 15:27:41.824053
